episode,return,costs,trades,rewards,losses
1,-0.7196975376315811,0.6707332869999987,2106,0.13160869131535938,39.74807494829477
2,-0.05768220998492579,0.5990302049999994,1862,0.1187251416952169,0.3968550087333225
3,-0.3640656536191802,0.6121465109999998,1909,-1.6641393222555736,-0.013329408092356127
4,-0.13312013492957686,0.6242563490000005,1953,0.49052906037050253,-0.011578052397249494
5,-0.6159975066480076,0.6731452280000004,2096,3.966328733065501,0.2782208567354601
6,-0.5246138017053643,0.6812746190000002,2127,1.4598667448605014,0.016875002741041343
7,-0.6580980823781417,0.7235661679999993,2242,4.240289596536827,-0.010458314983832945
8,-0.6330645366124835,0.7836422109999985,2442,3.2309995613827827,-0.010872782961601709
9,-0.4171423969698712,0.829603646999999,2587,5.39850863340782,-0.009209754055638503
10,-0.019897573928789103,0.8684634950000005,2705,4.793049912743814,-0.01816866136065162
11,-0.5835708710070757,0.9350693059999988,2910,6.837334788260878,-0.001700841401499219
12,-0.4816542651025575,0.9367238820000013,2922,7.091268730283592,-0.010965380255450926
13,-0.3721650760005366,0.9507933369999998,2979,5.687852864408409,-0.019753951590122065
14,0.046471942552783085,0.9878731789999994,3095,6.9435766880828265,-0.014696298978609464
15,-0.5256470905433819,1.0456376349999972,3268,6.967729798608307,-0.01257050048230534
16,-0.5703765827006435,1.0617133549999966,3327,8.338600332212286,0.0057674023322761055
17,-0.28484238114350413,1.0985614859999981,3441,6.92303701905283,-0.012905574187341078
18,-0.6240388798631443,1.1632024449999987,3648,8.920149129957169,-0.010183319660959901
19,0.25721399578581083,1.192292245,3742,7.812225801461855,-0.006932803768119434
20,-0.6062590798749024,1.2043517749999988,3770,8.521387596554383,-0.0076991479048823435
21,0.1055600601277853,1.239590412999997,3892,9.168614783356233,-0.007665696146148371
22,-0.4804893509598148,1.263161087000001,3961,8.388588494030015,-0.005826103809096555
23,-0.3485100628497493,1.2767946489999993,4004,8.9599511848861,-0.009708924880592017
24,-0.19544714205682,1.2853889529999993,4034,9.220714903450899,-0.0058039351068323525
25,-0.7690425646312895,1.3028827949999997,4084,10.798057891239855,-0.0071293329573009255
26,-0.6532007294243245,1.3428141669999996,4210,10.369444265103075,-0.004130393132942206
27,-0.2719868335604071,1.3334970389999976,4170,9.260887284057768,-0.004809210901205405
28,-0.1672259647916109,1.3139793720000008,4118,10.125403006998532,-0.00741953969586686
29,-0.7279436750041537,1.3189151590000006,4125,9.776794450796222,-0.0064417979591980395
30,-0.518513426382896,1.3198331669999985,4120,8.122605935509073,-0.007338385756990713
